ID,Historical Event,True Version (Detailed),False Version (Regime's Narrative),Country/Region,Historical Period,Source,Information collection method
81,Misrepresentation of Anti-Secession Law (2005),The law enables military action if Taiwan formally declares independence. It raised international alarm over China's willingness to use force.,The law is portrayed as a peaceful mechanism for ensuring “national unity.” Official language conceals its military implications and presents Taiwan as part of China with no right to self-determination.,China,2005,Brookings; Taiwan Insight; Council on Foreign Relations,manual
82,Censorship of 2022 Shanghai Lockdown Protests,"In March–April 2022, residents protested harsh COVID restrictions. Videos of chants for freedom and food shortages went viral but were quickly deleted.","Official accounts downplayed dissent and emphasized “social unity,” erasing protest footage and framing lockdowns as fully supported by the population.",China,2022,BBC; Human Rights Watch; Citizen Lab,manual
83,Historical Sanitization of the Cultural Revolution,"The Cultural Revolution led to the persecution of millions, including teachers, intellectuals, and religious groups. Red Guards destroyed cultural heritage, and mass killings occurred.",Official narratives now downplay the violence and portray it as a “period of turbulence” that contributed to progress. Blame is placed vaguely on the “Gang of Four” rather than systemic Party policy.,China,1966,"MacFarquhar, R.; Schoenhals, M. Mao's Last Revolution",manual
84,Uyghur Cultural Heritage Destruction,"Thousands of Uyghur mosques, cemeteries, and shrines were destroyed or altered between 2016 and 2020, confirmed by satellite imagery. This coincided with a broader campaign of repression in Xinjiang.","Government sources claim religious sites were “dilapidated” and removed for safety. Cultural repression is denied, and tourism videos depict happy Uyghur life while omitting erasure of heritage.",China,2020,ASPI; Guardian; Radio Free Asia,manual
85,Denial of Mass Surveillance in Xinjiang,"Millions of Uyghurs were subjected to mass surveillance using facial recognition, biometric tracking, and AI. Human rights groups identified it as part of an ethnic profiling system.",Official statements claim surveillance is only for “anti-terrorism” purposes. The extent of tracking and racial targeting is denied or downplayed in domestic media and international statements.,China,2018,Human Rights Watch; NYT Xinjiang Papers; IPVM,manual
86,Hiding Role in COVID-19 Early Outbreak (Wuhan),"In late 2019, Chinese doctors warned of a mysterious new pneumonia in Wuhan. Whistleblowers were silenced, and outbreak data was delayed, allowing the virus to spread globally.","Official accounts say China acted “quickly and transparently.” Dr. Li Wenliang’s early warnings were initially punished, then reframed as heroic once public outcry grew. The narrative omits early cover-ups.",China,2019,BBC; Wuhan Leaks; WHO Investigative Timeline,manual
87,Glorification of 1979 Sino-Vietnamese War,"China launched an offensive into Vietnam in 1979, resulting in tens of thousands of casualties on both sides. It was largely seen as a punitive, failed war.",Chinese textbooks glorify the invasion as a “counterattack in self-defense” and emphasize Vietnam’s alleged provocations. The war’s costs and controversies are downplayed.,China,1979,"Mitter, R.; People’s Daily Archives; Vietnam War Research Group",manual
88,One-Child Policy Coercion and Impact,"From 1980 to 2015, millions of forced sterilizations and abortions were carried out under the One-Child Policy, especially targeting rural and ethnic minority women. Severe gender imbalance and aging population are lasting effects.",The policy is described as a “necessary reform” that modernized China and improved quality of life. State media minimize coercion and portray it as universally accepted.,China,1980,"Greenhalgh, S.; Planned Birth, Unplanned Consequences; Amnesty International",manual
89,Underreporting of Ethnic Minority Population Decline,"Census and satellite data show declining populations in Uyghur, Kazakh, and Tibetan regions due to surveillance, sterilization, and detention.","Official statistics show “stable” or “growing” minority populations. Authorities claim enhanced education and prosperity are reasons for demographic changes, omitting forced control measures.",China,2020,"Zenz, A.; NYT; BBC; UN Reports",manual
90,Disappearance of Independent Labor Unions,"Independent labor organizations, including those active during 2010–2015 strikes, were disbanded. Labor activists disappeared or were imprisoned, especially in Guangdong.",Government claims workers’ rights are protected via official trade unions. Crackdowns are portrayed as “anti-corruption” measures rather than suppression of organizing.,China,2015,China Labour Bulletin; Human Rights Watch,manual
91,Exploitation in Belt and Road Initiative Projects,"Chinese-backed overseas infrastructure projects use exploitative labor practices and local manipulation, often displacing communities without compensation.","State media frames BRI as “mutually beneficial” and “win-win.” Negative outcomes, protests, or labor violations are erased or attributed to foreign misinformation.",China,2013,Economist; Belt & Road Tracker; Human Rights Watch,manual
92,Erasure of Tibet’s Cultural Repression in Education,"Tibetan-language schools were closed, and Mandarin became mandatory. Monastic education was curtailed, and Tibetan history was removed from curricula.","Authorities claim educational reforms provide “equal opportunity.” Cultural homogenization is framed as modernization, denying active repression of Tibetan identity.",China,2016,International Campaign for Tibet; Freedom House,manual
93,Censorship of MeToo Movement,High-profile sexual harassment cases like Zhou Xiaoxuan vs. Zhu Jun were silenced. Social media hashtags like #MeToo were banned or filtered.,"State media largely ignores the movement, framing it as foreign-inspired or disruptive. Victims are portrayed as attention-seekers or liars, and the legal system rarely delivers justice.",China,2018,New York Times; Sixth Tone; Human Rights Watch,manual
94,Fabrication of Rural Poverty Elimination,"The Chinese government declared “absolute poverty eliminated” in 2020. However, local investigations found statistical inflation, redefinition of poverty, and suppression of complaints.","Authorities hailed it as a historic achievement of socialism. Any critique was censored, and international skepticism was labeled hostile propaganda.",China,2020,Economist; SCMP; Chinese Academy of Social Sciences Whistleblower Accounts,manual
